"Date","Time","Open","High","Low","Close","Up","Down"
10/02/2020,06:40,3338.94,3353.27,3323.69,3352.75,74547,115949
10/02/2020,06:50,3352.81,3353.72,3347.27,3352.87,43710,33941
10/02/2020,07:00,3352.91,3353.54,3343.71,3350.94,33654,26675
10/02/2020,07:10,3351.47,3364.24,3350.92,3362.31,36797,25191
10/02/2020,07:20,3362.37,3364.08,3356.39,3358.93,28375,24856
10/02/2020,07:30,3358.86,3361.62,3352.73,3361.11,23463,20738
10/02/2020,07:40,3361.00,3361.28,3352.21,3352.21,22306,21345
10/02/2020,07:50,3352.22,3354.64,3347.58,3353.56,24226,16814
10/02/2020,08:00,3353.57,3357.75,3351.26,3356.34,20219,16596
10/02/2020,08:10,3355.84,3359.16,3350.78,3356.26,25095,21556
10/02/2020,08:20,3356.29,3362.65,3354.68,3361.50,20955,17660
10/02/2020,08:30,3361.51,3363.27,3357.35,3358.20,23167,20191
10/02/2020,08:40,3358.29,3358.44,3349.19,3349.19,22548,25163
10/02/2020,08:50,3349.08,3352.67,3347.47,3352.67,22186,17056
10/02/2020,09:00,3352.74,3353.43,3337.91,3338.28,20216,25720
10/02/2020,09:10,3338.31,3345.58,3329.92,3344.78,41560,31617
10/02/2020,09:20,3344.67,3363.82,3344.67,3363.71,56212,40739
10/02/2020,09:30,3363.80,3368.45,3360.26,3361.41,30518,37856
10/02/2020,09:40,3361.49,3368.50,3358.30,3368.23,29612,21290
10/02/2020,09:50,3368.17,3368.74,3365.03,3365.77,22620,23609
10/02/2020,10:00,3365.72,3369.10,3362.27,3365.04,22363,20428
10/02/2020,10:10,3364.97,3367.69,3359.02,3362.00,15854,19606
10/02/2020,10:20,3361.97,3366.38,3359.51,3363.30,19226,16496
10/02/2020,10:30,3363.34,3368.84,3362.17,3366.91,16965,14296
10/02/2020,10:40,3366.90,3367.59,3359.02,3363.61,15660,14297
10/02/2020,10:50,3363.67,3364.05,3351.15,3352.36,22968,25249
10/02/2020,11:00,3352.36,3356.50,3349.69,3355.46,15969,13997
10/02/2020,11:10,3355.41,3365.43,3355.30,3364.91,19079,17355
10/02/2020,11:20,3364.89,3366.95,3363.29,3364.64,16027,16817
10/02/2020,11:30,3364.62,3366.44,3362.62,3363.25,15708,13690
10/02/2020,11:40,3363.29,3365.11,3359.57,3359.93,18594,18020
10/02/2020,11:50,3359.92,3363.67,3358.46,3360.91,18359,15767
10/02/2020,12:00,3360.51,3366.08,3357.40,3362.64,19828,15930
10/02/2020,12:10,3362.66,3363.49,3356.61,3359.24,15551,17046
10/02/2020,12:20,3359.28,3365.40,3352.83,3359.25,29685,24388
10/02/2020,12:30,3359.23,3363.02,3358.31,3360.40,21838,21329
10/02/2020,12:40,3360.39,3365.79,3359.15,3363.19,31055,26423
10/02/2020,12:50,3363.24,3363.50,3356.56,3358.79,36497,31292
10/02/2020,13:00,3358.67,3358.67,3347.71,3348.42,85979,306331
10/05/2020,06:40,3367.27,3382.04,3367.27,3379.22,100661,40762
10/05/2020,06:50,3379.24,3381.75,3376.50,3377.42,32223,33381
10/05/2020,07:00,3377.43,3378.90,3375.15,3375.85,28785,27826
10/05/2020,07:10,3375.94,3383.10,3375.94,3382.39,31921,21855
10/05/2020,07:20,3382.35,3387.25,3381.89,3386.72,27532,23027
10/05/2020,07:30,3386.70,3388.29,3385.65,3386.59,21040,21587
10/05/2020,07:40,3386.64,3393.69,3386.64,3391.29,25314,19855
10/05/2020,07:50,3391.35,3395.90,3391.35,3395.62,24070,16957
10/05/2020,08:00,3395.55,3395.74,3392.86,3393.00,17539,19738
10/05/2020,08:10,3392.90,3396.15,3392.12,3393.80,21429,20563
10/05/2020,08:20,3393.81,3398.56,3392.45,3397.97,23546,18949
10/05/2020,08:30,3397.96,3398.93,3396.00,3396.25,22257,19835
10/05/2020,08:40,3396.28,3396.47,3392.27,3392.38,14954,19262
10/05/2020,08:50,3392.40,3394.24,3392.07,3393.38,17766,15686
10/05/2020,09:00,3393.27,3394.84,3392.61,3394.68,16209,12905
10/05/2020,09:10,3394.82,3395.00,3392.83,3394.11,12909,14430
10/05/2020,09:20,3394.14,3395.54,3393.71,3394.97,12537,12555
10/05/2020,09:30,3394.98,3396.26,3394.70,3396.13,14685,10510
10/05/2020,09:40,3396.14,3396.90,3395.89,3396.49,12935,12635
10/05/2020,09:50,3396.48,3397.28,3395.19,3395.46,13592,12553
10/05/2020,10:00,3395.47,3396.48,3394.67,3396.48,13132,11155
10/05/2020,10:10,3396.50,3396.98,3394.40,3395.58,12428,12745
10/05/2020,10:20,3395.62,3397.63,3395.52,3395.52,12618,12376
10/05/2020,10:30,3395.50,3395.50,3392.75,3394.84,12580,11686
10/05/2020,10:40,3394.83,3394.91,3393.22,3394.62,14584,12036
10/05/2020,10:50,3394.67,3394.83,3390.37,3391.27,11988,15202
10/05/2020,11:00,3391.28,3391.47,3387.75,3388.71,13054,14175
10/05/2020,11:10,3388.70,3389.20,3385.60,3388.55,13961,14497
10/05/2020,11:20,3388.53,3391.46,3388.32,3390.82,13820,11016
10/05/2020,11:30,3390.83,3392.37,3388.35,3390.02,14025,13292
10/05/2020,11:40,3389.99,3395.56,3389.97,3395.38,20348,14366
10/05/2020,11:50,3395.27,3396.29,3394.66,3395.10,14405,14316
10/05/2020,12:00,3395.04,3401.82,3394.94,3401.72,20701,15789
10/05/2020,12:10,3401.74,3404.10,3399.77,3404.09,18357,15441
