"Date","Time","Open","High","Low","Close","Up","Down"
10/01/2020,15:20,10815,10815,10815,10815,1,0
10/01/2020,16:20,10805,10805,10805,10805,0,2
10/01/2020,16:30,10805,10805,10805,10805,0,1
10/01/2020,16:50,10805,10805,10805,10805,0,1
10/01/2020,22:30,10600,10600,10600,10600,0,1
10/01/2020,23:30,10660,10660,10660,10660,1,0
10/02/2020,00:10,10700,10700,10700,10700,1,0
10/02/2020,03:00,10650,10650,10650,10650,0,1
10/02/2020,03:30,10605,10605,10605,10605,0,1
10/02/2020,03:50,10615,10615,10615,10615,1,0
10/02/2020,06:20,10635,10635,10635,10635,1,0
10/02/2020,06:40,10655,10655,10655,10655,1,0
10/02/2020,06:50,10750,10750,10750,10750,1,0
10/02/2020,07:00,10745,10745,10745,10745,0,3
10/02/2020,07:20,10710,10710,10710,10710,0,3
10/02/2020,09:20,10730,10740,10730,10740,3,0
10/02/2020,11:20,10750,10750,10750,10750,2,0
10/02/2020,12:00,10745,10750,10745,10750,2,1
10/02/2020,12:20,10740,10740,10735,10735,0,3
10/02/2020,13:00,10705,10705,10705,10705,0,1
10/02/2020,13:10,10695,10695,10695,10695,0,1
10/02/2020,13:20,10700,10700,10700,10700,1,0
10/04/2020,16:10,10865,10865,10860,10860,3,3
10/04/2020,16:20,10860,10860,10860,10860,0,1
10/04/2020,17:10,10905,10905,10905,10905,2,0
10/04/2020,21:00,10875,10875,10875,10875,0,1
10/04/2020,21:10,10855,10855,10850,10850,0,2
10/04/2020,22:50,10870,10870,10870,10870,2,0
10/05/2020,00:10,10845,10845,10845,10845,0,2
10/05/2020,00:20,10870,10885,10870,10885,2,0
10/05/2020,00:30,10875,10875,10875,10875,0,1
10/05/2020,00:40,10875,10875,10875,10875,0,3
10/05/2020,00:50,10905,10905,10905,10905,1,0
10/05/2020,06:30,10930,10930,10930,10930,1,0
10/05/2020,07:10,10970,10985,10970,10985,2,0
10/05/2020,07:20,10955,10960,10955,10960,1,2
10/05/2020,07:30,10950,10960,10950,10960,11,8
10/05/2020,08:20,10950,10950,10950,10950,0,1
10/05/2020,08:30,10940,10940,10940,10940,0,1
10/05/2020,10:10,10950,10950,10950,10950,1,0
10/05/2020,11:10,10915,10915,10915,10915,0,1
10/05/2020,12:20,10945,10945,10945,10945,1,0
10/05/2020,15:10,10970,10970,10970,10970,4,0
10/05/2020,17:20,10995,10995,10995,10995,1,0
10/05/2020,17:30,10995,10995,10995,10995,2,0
10/05/2020,21:20,11000,11000,11000,11000,1,0
10/06/2020,00:40,10970,10970,10970,10970,0,1
10/06/2020,00:50,10945,10945,10930,10930,0,3
10/06/2020,02:00,10940,10940,10940,10940,2,0
10/06/2020,02:10,10945,10945,10945,10945,2,0
10/06/2020,04:10,10905,10905,10905,10905,0,1
10/06/2020,05:20,10905,10905,10905,10905,0,1
10/06/2020,08:00,10900,10900,10895,10895,0,4
10/06/2020,08:10,10855,10855,10855,10855,0,1
10/06/2020,08:20,10835,10835,10835,10835,0,1
10/06/2020,08:50,10940,10950,10940,10950,2,0
10/06/2020,09:20,10955,10955,10955,10955,2,0
10/06/2020,09:30,10945,10945,10945,10945,0,2
10/06/2020,09:40,10935,10935,10935,10935,0,1
10/06/2020,09:50,10940,10940,10940,10940,1,0
10/06/2020,10:20,10940,10940,10940,10940,4,0
10/06/2020,10:30,10930,10935,10930,10935,1,1
10/06/2020,10:40,10925,10925,10925,10925,0,1
10/06/2020,10:50,10925,10925,10925,10925,0,5
10/06/2020,11:30,10945,10945,10945,10945,1,0
10/06/2020,12:00,10885,10885,10790,10820,1,9
10/06/2020,12:10,10765,10765,10745,10745,0,3
10/06/2020,12:20,10815,10815,10765,10765,1,2
10/06/2020,12:40,10790,10790,10790,10790,1,0
10/06/2020,12:50,10765,10765,10765,10765,0,2
10/06/2020,14:00,10720,10720,10720,10720,0,1
10/06/2020,15:10,10750,10750,10750,10750,2,0
10/06/2020,16:20,10765,10765,10765,10765,1,0
10/06/2020,20:30,10775,10775,10775,10775,1,0
10/07/2020,02:40,10805,10805,10805,10805,1,0
10/07/2020,05:20,10820,10820,10820,10820,1,0
10/07/2020,05:30,10825,10825,10825,10825,1,0
10/07/2020,06:40,10845,10845,10845,10845,1,0
10/07/2020,08:10,10840,10840,10840,10840,0,1
10/07/2020,08:30,10850,10860,10850,10860,4,0
10/07/2020,09:10,10830,10830,10830,10830,0,2
10/07/2020,09:30,10795,10795,10795,10795,0,1
10/07/2020,12:20,10870,10880,10870,10880,2,0
10/07/2020,12:40,10870,10870,10870,10870,0,1
10/07/2020,15:30,10860,10860,10860,10860,0,3
10/07/2020,15:50,10860,10860,10860,10860,0,1
10/07/2020,19:00,10850,10850,10850,10850,0,1
10/07/2020,19:20,10840,10840,10840,10840,0,1
10/07/2020,19:30,10840,10840,10840,10840,0,4
10/07/2020,22:00,10840,10840,10840,10840,0,1
10/07/2020,23:10,10830,10830,10830,10830,0,2
10/08/2020,00:20,10790,10790,10790,10790,0,3
10/08/2020,00:50,10795,10795,10795,10795,1,0
10/08/2020,05:40,10845,10845,10845,10845,1,0
10/08/2020,06:10,10830,10930,10830,10930,12,2
10/08/2020,06:20,10930,10930,10920,10920,1,3
10/08/2020,06:30,10945,10955,10945,10955,2,0
10/08/2020,06:40,10970,10970,10960,10960,1,1
10/08/2020,06:50,10945,10945,10945,10945,0,2
10/08/2020,07:00,10940,10955,10940,10955,3,1
10/08/2020,07:10,10935,10935,10935,10935,0,1
10/08/2020,07:20,10920,10920,10915,10915,0,5
10/08/2020,07:30,10970,10970,10970,10970,1,0
10/08/2020,07:40,10945,11095,10945,11095,7,1
10/08/2020,07:50,11075,11115,11075,11110,1,2
10/08/2020,08:00,11115,11165,11115,11145,5,1
10/08/2020,08:10,11160,11160,11160,11160,1,0
10/08/2020,08:30,11130,11140,11130,11130,4,8
10/08/2020,08:40,11120,11120,11095,11115,2,3
10/08/2020,08:50,11120,11140,11120,11125,12,1
10/08/2020,09:00,11115,11115,11115,11115,0,1
10/08/2020,10:00,11150,11150,11150,11150,1,0
10/08/2020,10:10,11145,11145,11145,11145,0,1
10/08/2020,10:30,11165,11165,11165,11165,1,0
10/08/2020,10:40,11125,11125,11125,11125,0,1
10/08/2020,11:00,11105,11105,11105,11105,0,1
10/08/2020,11:20,11115,11115,11115,11115,3,0
10/08/2020,12:00,11100,11100,11100,11100,0,1
10/08/2020,12:10,11085,11085,11085,11085,0,1
10/08/2020,12:30,11115,11115,11115,11115,2,0
10/08/2020,13:00,11110,11110,11110,11110,0,1
10/08/2020,13:30,11100,11100,11100,11100,0,1
10/08/2020,13:50,11130,11130,11130,11130,1,0
10/08/2020,15:20,11130,11130,11130,11130,1,0
10/08/2020,15:40,11125,11125,11125,11125,0,1
10/08/2020,17:00,11120,11150,11120,11150,3,2
10/08/2020,21:20,11115,11115,11115,11115,0,1
10/08/2020,23:00,11090,11090,11090,11090,0,2
10/08/2020,23:10,11080,11080,11075,11075,0,2
10/09/2020,03:00,11110,11115,11110,11115,2,0
10/09/2020,03:50,11180,11245,11180,11245,8,0
10/09/2020,04:10,11250,11285,11250,11285,4,0
10/09/2020,04:30,11295,11340,11295,11340,5,0
10/09/2020,04:50,11300,11300,11300,11300,0,1
10/09/2020,05:00,11280,11280,11280,11280,0,1
10/09/2020,05:20,11285,11290,11285,11290,2,0
10/09/2020,05:30,11300,11300,11300,11300,1,0
