purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1990-01-02,1990-05-10,359.69,344.98001,9.0,95576.07,3.13113,3.17642,28.18,2818.02,12.58
1990-05-10,1990-09-10,344.98001,326.53,11.0,101245.16,2.44744,12.03352,26.92,2692.18,10517.77
1990-09-10,1990-12-10,326.53,328.97,5.0,99726.73,5.85528,1.75594,29.28,2927.64,-2078.95
1990-12-10,1991-03-11,328.97,375.10001,6.0,110750.94,4.38474,0.13273,26.31,2630.84,-2577.52
1991-03-11,1991-06-10,375.10001,379.75,6.0,109457.39,5.26539,0.94257,31.59,3159.23,-2625.28
1991-06-10,1991-10-10,379.75,380.54999,5.0,108933.94,5.50079,4.0337,27.5,2750.4,-761.05
1991-10-10,1992-02-10,380.54999,413.76999,5.0,115763.28,5.99858,1.25542,29.99,2999.29,-2401.57
1992-02-10,1992-06-10,413.76999,410.10001,4.0,113263.31,7.06056,3.3617,28.24,2824.22,-1507.78
1992-06-10,1992-10-13,410.10001,410.64002,7.0,112760.21,4.47398,3.56774,31.32,3131.79,-665.69
1992-10-13,1993-02-10,410.64002,446.37,5.0,119497.33,5.72419,0.20436,28.62,2862.1,-2788.54
1993-02-10,1993-06-10,446.37,446.22,11.0,119124.67,3.1437,2.84356,34.58,3458.07,-364.73
1993-06-10,1993-10-12,446.22,462.47,7.0,120457.21,4.56258,0.51873,31.94,3193.81,-2862.64
1993-10-12,1994-02-10,462.47,473.13,13.0,121953.94,2.60273,1.68849,33.84,3383.55,-1222.35
1994-02-10,1994-06-10,473.13,459.48001,8.0,118133.45,4.34156,3.85086,34.73,3473.25,-427.29
1994-06-10,1994-10-11,459.48001,466.34,9.0,118693.32,3.54028,2.28784,31.86,3186.25,-1159.06
1994-10-11,1995-02-10,466.34,481.95999,7.0,119469.86,4.56455,0.22346,31.95,3195.18,-3070.71
1995-02-10,1995-06-12,481.95999,532.53998,32.0,128901.44,1.0922,0.25399,34.95,3495.04,-2717.22
1995-06-12,1995-10-10,532.53998,578.37,9.0,135986.43,4.10442,0.05101,36.94,3693.98,-3685.01
1995-10-10,1996-02-12,578.37,662.95001,25.0,152522.59,1.60175,0.51134,40.04,4004.38,-2766.06
1996-02-12,1996-06-10,662.95001,673.60998,4.0,152062.23,9.74418,2.70579,38.98,3897.67,-2854.34
1996-06-10,1996-10-10,673.60998,696.82001,8.0,153946.32,5.58017,1.61989,44.64,4464.14,-3212.86
1996-10-10,1997-02-10,696.82001,793.46002,8.0,171256.78,5.17598,1.0103,41.41,4140.78,-3373.95
1997-02-10,1997-06-10,793.46002,870.04999,4.0,183727.51,12.75806,3.98619,51.03,5103.22,-3559.78
1997-06-10,1997-10-10,870.04999,970.61999,2.0,201796.12,18.49536,5.44437,36.99,3699.07,-2647.19
1997-10-10,1998-01-12,970.61999,939.25,4.0,194646.47,14.83571,12.72565,59.34,5934.28,-903.36
1998-01-12,1998-04-13,939.25,1110.75,3.0,224672.19,15.11814,0.00084,45.35,4535.44,-4580.54
1998-04-13,1998-08-10,1110.75,1092.81995,5.0,229166.63,12.18325,28.012,60.92,6091.62,7853.46
1998-08-10,1998-11-10,1092.81995,1135.37,3.0,235471.35,18.82594,11.42811,56.48,5647.78,-2275.83
1998-11-10,1999-02-10,1135.37,1226.78003,2.0,247603.15,34.53546,3.6687,69.07,6907.09,-6242.42
1999-02-10,1999-05-10,1226.78003,1352.01001,2.0,267289.4,26.9677,2.2869,53.94,5393.54,-4990.1
1999-05-10,1999-08-10,1352.01001,1298.62,2.0,254706.26,26.91901,15.63169,53.84,5383.8,-2311.3
1999-08-10,1999-12-10,1298.62,1421.57996,2.0,274657.0,28.46216,11.04593,56.92,5692.43,-3540.17
