purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1990-01-02,1990-05-10,359.69,344.98001,39.0,94634.28,0.5057,0.28642,19.72,1972.23,-874.91
1990-05-10,1990-08-23,344.98001,316.54999,51.0,106753.8,0.36655,4.19973,18.69,1869.4,19530.53
1990-08-23,1990-11-13,316.54999,319.48001,30.0,106467.59,0.70434,0.39923,21.13,2113.02,-936.46
1990-11-13,1991-02-11,319.48001,368.57999,11.0,120382.63,1.87673,0.00133,20.64,2064.4,-2083.58
1991-02-11,1991-05-10,368.57999,383.91,25.0,122996.23,0.92519,0.01782,23.13,2312.98,-2291.55
1991-05-10,1991-09-10,383.91,388.63,12.0,122597.28,2.02901,0.48289,24.35,2434.81,-1879.69
1991-09-10,1992-01-10,388.63,417.62,16.0,130105.21,1.44028,0.54488,23.04,2304.45,-1455.68
1992-01-10,1992-04-10,417.62,405.12,29.0,123803.73,0.89102,0.04258,25.84,2583.96,-2486.32
1992-04-10,1992-08-10,405.12,419.42001,23.0,125874.37,1.03913,0.09064,23.9,2390.0,-2205.43
1992-08-10,1992-12-10,419.42001,435.66,33.0,128207.8,0.74256,0.0102,24.5,2450.45,-2441.29
1992-12-10,1993-04-12,435.66,448.37,135.0,136169.33,0.18894,0.50435,25.51,2550.69,4232.52
1993-04-12,1993-08-10,448.37,450.70999,13.0,134177.88,2.07903,0.08835,27.03,2702.74,-2614.91
1993-08-10,1993-12-10,450.70999,464.87,63.0,135710.51,0.42169,0.01497,26.57,2656.65,-2588.91
1993-12-10,1994-04-11,464.87,450.34,124.0,139698.56,0.21702,0.86707,26.91,2691.05,8033.71
1994-04-11,1994-08-10,450.34,460.48001,22.0,140064.75,1.20932,0.04939,26.61,2660.5,-2578.46
1994-08-10,1994-12-12,460.48001,449.48001,84.0,137342.43,0.32796,0.39316,27.55,2754.86,520.13
1994-12-12,1995-04-10,449.48001,507.01001,45.0,151798.17,0.59942,9e-05,26.97,2697.39,-2723.95
1995-04-10,1995-08-10,507.01001,560.63,270.0,164623.81,0.11176,0.00586,30.18,3017.52,-2889.48
1995-08-10,1995-12-11,560.63,620.90002,67.0,178652.95,0.48656,0.0032,32.6,3259.95,-3271.11
1995-12-11,1996-04-10,620.90002,642.78003,77.0,188597.09,0.45653,0.9409,35.15,3515.28,3694.5
1996-04-10,1996-08-12,642.78003,665.77002,10.0,192527.87,3.45526,0.88042,34.55,3455.26,-2609.39
1996-08-12,1996-12-10,665.77002,753.42999,11.0,213535.51,3.42499,0.00307,37.67,3767.49,-3801.78
1996-12-10,1997-04-10,753.42999,763.72998,60.0,222091.28,0.69749,1.63713,41.85,4184.94,5595.99
1997-04-10,1997-08-11,763.72998,938.5,10.0,267684.66,4.14436,0.06407,41.44,4144.36,-4121.73
1997-08-11,1997-12-10,938.5,975.78003,8.0,284971.84,6.20595,14.71563,49.65,4964.76,6758.09
1997-12-10,1998-03-10,975.78003,1064.58997,4.0,304679.57,13.83163,0.00234,55.33,5532.65,-5587.05
1998-03-10,1998-07-10,1064.58997,1166.93005,13.0,328259.04,4.34469,0.46825,56.48,5648.1,-5095.85
1998-07-10,1998-09-01,1166.93005,1000.71002,11.0,353258.83,5.71761,69.35067,62.89,6289.37,69933.48
1998-09-01,1998-12-10,1000.71002,1183.77002,5.0,409149.99,12.65325,0.00037,63.27,6326.62,-6389.71
1998-12-10,1999-03-10,1183.77002,1287.02002,17.0,436703.92,4.6106,0.31937,78.38,7838.02,-7373.47
1999-03-10,1999-06-10,1287.02002,1318.64001,10.0,439716.45,8.08308,0.65235,80.83,8083.08,-7511.56
1999-06-10,1999-09-10,1318.64001,1357.62,16.0,444416.36,5.39037,0.42049,86.25,8624.59,-8038.06
1999-09-10,1999-12-10,1357.62,1421.57996,19.0,456611.89,4.57751,0.25471,86.97,8697.27,-8300.29
