purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1990-01-02,1990-05-10,359.69,344.98001,59.0,94229.88,0.5057,0.28642,29.84,2983.63,-1323.59
1990-05-10,1990-09-10,344.98001,326.53,76.0,117268.15,0.36655,4.00389,27.86,2785.78,27615.92
1990-09-10,1990-12-10,326.53,328.97,25.0,114495.53,1.35002,0.09648,33.75,3375.05,-3167.6
1990-12-10,1991-03-11,328.97,375.10001,44.0,126628.82,0.76959,0.00299,33.86,3386.2,-3406.9
1991-03-11,1991-06-10,375.10001,379.75,39.0,124447.69,0.95984,0.02052,37.43,3743.38,-3700.78
1991-06-10,1991-10-10,379.75,380.54999,28.0,122767.36,1.2828,0.59921,35.92,3591.84,-1949.97
1991-10-10,1992-02-10,380.54999,413.76999,26.0,129744.69,1.40531,0.11945,36.54,3653.81,-3379.78
1992-02-10,1992-06-10,413.76999,410.10001,23.0,125513.55,1.66357,0.32256,38.26,3826.21,-3122.58
1992-06-10,1992-10-13,410.10001,410.64002,50.0,123830.42,0.73637,0.3725,36.82,3681.85,-1856.17
1992-10-13,1993-02-10,410.64002,446.37,34.0,130599.85,1.06765,0.00335,36.3,3630.01,-3654.92
1993-02-10,1993-06-10,446.37,446.22,124.0,129266.83,0.31424,0.21109,38.97,3896.58,-1318.03
1993-06-10,1993-10-12,446.22,462.47,58.0,129985.96,0.66001,0.00832,38.28,3828.06,-3818.08
1993-10-12,1994-02-10,462.47,473.13,200.0,130831.39,0.19332,0.0915,38.66,3866.4,-2075.06
1994-02-10,1994-06-10,473.13,459.48001,67.0,125349.39,0.5749,0.30648,38.52,3851.83,-1836.93
1994-06-10,1994-10-11,459.48001,466.34,82.0,124968.12,0.45183,0.18836,37.05,3705.01,-2197.5
1994-10-11,1995-02-10,466.34,481.95999,48.0,125298.93,0.76678,0.00205,36.81,3680.54,-3707.51
1995-02-10,1995-06-12,481.95999,532.53998,751.0,134784.3,0.04975,0.00671,37.36,3736.23,-3269.66
1995-06-12,1995-10-10,532.53998,578.37,75.0,141982.94,0.53226,0.0002,39.92,3991.95,-4030.37
1995-10-10,1996-02-12,578.37,662.95001,592.0,159491.19,0.07154,0.02758,42.35,4235.17,-2644.78
1996-02-12,1996-06-10,662.95001,673.60998,23.0,157693.18,2.02544,0.1838,46.59,4658.51,-4282.36
1996-06-10,1996-10-10,673.60998,696.82001,58.0,158722.12,0.80098,0.0761,46.46,4645.68,-4250.76
1996-10-10,1997-02-10,696.82001,793.46002,72.0,175835.81,0.64909,0.07818,46.73,4673.45,-4157.28
1997-02-10,1997-06-10,793.46002,870.04999,17.0,188127.41,3.02369,0.58651,51.4,5140.27,-4194.61
1997-06-10,1997-10-10,870.04999,970.61999,10.0,204682.1,5.41703,0.99284,54.17,5417.03,-4478.36
1997-10-10,1998-01-12,970.61999,939.25,22.0,194754.39,2.77611,1.18355,61.07,6107.44,-3564.7
1998-01-12,1998-04-13,939.25,1110.75,20.0,223397.69,2.88347,0.0,57.67,5766.94,-5824.61
1998-04-13,1998-08-10,1110.75,1092.81995,32.0,238119.38,2.0736,7.70392,66.36,6635.52,17950.66
1998-08-10,1998-11-10,1092.81995,1135.37,18.0,242886.44,3.86869,1.68694,69.64,6963.64,-3996.79
1998-11-10,1999-02-10,1135.37,1226.78003,6.0,255394.62,10.98076,0.25767,65.88,6588.46,-6499.73
1999-02-10,1999-05-10,1226.78003,1352.01001,11.0,273405.75,6.69876,0.12165,73.69,7368.64,-7308.51
1999-05-10,1999-08-10,1352.01001,1298.62,13.0,256237.16,6.23567,1.10934,81.06,8106.37,-6745.29
1999-08-10,1999-12-10,1298.62,1421.57996,9.0,274176.43,8.37516,2.26008,75.38,7537.64,-5578.95
