purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1988-06-10,1988-10-11,273.20999,278.23999,6817.0,97880.97,0.40005,0.00657,-2956.35
1988-10-11,1989-02-10,278.23999,296.06,35973.0,99520.0,0.04159,7e-05,-2933.6
1989-02-10,1989-06-12,296.06,326.69,64260.0,103918.09,0.00646,3e-05,-2985.19
1989-06-12,1989-10-10,326.69,360.44,55490.0,108938.54,0.01618,1e-05,-3117.27
1989-10-10,1989-10-13,360.44,355.53,63274.0,290881.15,0.01165,1.49519,91337.51
1989-10-13,1990-02-12,355.53,333.62,4569.0,184299.12,1.24869,0.68721,-2749.4
1990-02-12,1990-06-11,333.62,361.63,12802.0,189956.82,0.3845,0.0012,-5421.01
1990-06-11,1990-08-17,361.63,332.35998,50041.0,319351.05,0.07387,1.51918,70322.76
1990-08-17,1990-12-10,332.35998,328.97,14239.0,245025.96,0.47266,0.43418,-1117.92
1990-12-10,1991-04-10,328.97,374.82999,9032.0,263675.46,0.75324,0.00452,-7124.44
1991-04-10,1991-08-12,374.82999,388.17001,17940.0,264238.86,0.40084,0.00494,-7820.45
1991-08-12,1991-12-10,388.17001,379.57001,72165.0,285074.47,0.06981,0.25953,10803.14
1991-12-10,1992-04-10,379.57001,405.12,18925.0,275004.49,0.38219,0.00196,-7953.85
1992-04-10,1992-08-10,405.12,419.42001,61605.0,273740.09,0.0939,0.00101,-8188.49
1992-08-10,1992-12-10,419.42001,435.66,113058.0,271154.05,0.03262,0.0,-8211.95
1992-12-10,1993-02-16,435.66,444.53,201401.0,263465.87,0.00039,0.00798,-6529.37
1993-02-16,1993-06-10,444.53,446.22,101547.0,251505.61,0.03736,0.00327,-7523.74
1993-06-10,1993-10-12,446.22,462.47,121183.0,247612.09,0.02218,0.0,-7535.84
1993-10-12,1994-02-10,462.47,473.13,184601.0,238498.64,0.00024,0.00061,-7317.7
1994-02-10,1994-04-04,473.13,445.66,133300.0,289038.95,0.01365,0.28733,31149.54
1994-04-04,1994-08-10,445.66,460.48001,72726.0,248270.22,0.06343,2e-05,-7521.56
1994-08-10,1994-12-12,460.48001,449.48001,170787.0,234973.57,0.00361,0.01983,-4061.83
1994-12-12,1995-04-10,449.48001,507.01001,102593.0,249196.44,0.02772,0.0,-6947.88
1995-04-10,1995-08-10,507.01001,560.63,186617.0,259731.04,6e-05,0.0,-7477.2
1995-08-10,1995-12-11,560.63,620.90002,163045.0,272423.9,0.00779,0.0,-7792.12
1995-12-11,1996-01-10,620.90002,609.45001,184277.0,296786.54,0.00435,0.12162,14238.16
1996-01-10,1996-05-10,609.45001,653.0,64940.0,282711.33,0.08675,0.00154,-8131.54
1996-05-10,1996-09-10,653.0,665.57001,60352.0,280300.31,0.10048,0.02777,-6804.19
1996-09-10,1997-01-10,665.57001,759.65002,37372.0,307001.55,0.18366,0.00084,-8328.35
1997-01-10,1997-05-12,759.65002,838.56,25767.0,342250.88,0.31739,0.28523,-1860.67
1997-05-12,1997-09-10,838.56,933.61999,2850.0,362565.36,3.48462,0.18297,-9523.7
1997-09-10,1998-01-12,933.61999,939.25,3216.0,363041.75,3.33684,1.53829,-5914.14
1998-01-12,1998-05-11,939.25,1119.13,3004.0,413593.1,3.53536,0.00016,-10741.74
1998-05-11,1998-08-28,1119.13,1051.80005,22879.0,849435.3,0.5023,10.34339,224238.3
1998-08-28,1998-11-10,1051.80005,1135.37,8889.0,645039.41,2.02812,0.24013,-16249.44
1998-11-10,1999-02-10,1135.37,1226.78003,3287.0,673914.21,5.82739,0.04166,-19149.69
1999-02-10,1999-06-10,1226.78003,1318.64001,2270.0,706883.62,8.864,1.00795,-17925.23
1999-06-10,1999-10-12,1318.64001,1335.20996,3171.0,706641.93,6.62575,2.32693,-13759.56
1999-10-12,2000-02-10,1335.20996,1422.09998,3559.0,735315.24,5.8536,1.84627,-14406.09
2000-02-10,2000-05-10,1422.09998,1412.14001,7616.0,783733.46,2.83055,5.39185,19200.86
2000-05-10,2000-08-10,1412.14001,1475.15002,1546.0,752449.71,14.36871,0.00307,-22271.28
2000-08-10,2000-12-11,1475.15002,1389.05005,10525.0,1075965.47,2.10462,18.48366,171967.4
2000-12-11,2001-03-12,1389.05005,1233.42004,4525.0,812914.46,5.8027,5.97405,593.36
2001-03-12,2001-07-10,1233.42004,1203.43005,3408.0,763736.17,6.87715,2.95004,-13521.59
2001-07-10,2001-11-13,1203.43005,1139.14001,5255.0,862705.34,4.26264,16.26005,62834.39
2001-11-13,2002-02-11,1139.14001,1112.01001,4482.0,737038.06,5.162,0.14684,-22657.95
2002-02-11,2002-06-10,1112.01001,1038.18005,5468.0,799340.22,4.00012,12.13513,44262.23
2002-06-10,2002-09-10,1038.18005,909.89002,7624.0,1160633.89,2.84409,35.26878,246899.84
2002-09-10,2002-12-10,909.89002,904.95001,1080.0,864099.4,24.70823,2.01507,-24552.61
2002-12-10,2003-03-10,904.95001,828.89002,3695.0,791484.27,6.95677,3.49388,-12943.38
2003-03-10,2003-07-10,828.89002,1002.21002,2682.0,913131.88,8.66712,0.02763,-23279.11
2003-07-10,2003-11-10,1002.21002,1053.65002,5557.0,932395.06,4.88863,0.14269,-26597.19
2003-11-10,2004-03-10,1053.65002,1141.44995,15539.0,978338.96,1.75847,0.00364,-27890.3
2004-03-10,2004-07-12,1141.44995,1116.10999,58865.0,935479.41,0.45857,0.08504,-24343.84
2004-07-12,2004-11-10,1116.10999,1169.25,130855.0,946223.12,0.17332,0.02297,-24910.05
2004-11-10,2005-03-10,1169.25,1211.22998,48507.0,946592.37,0.54334,0.00864,-27878.69
2005-03-10,2005-07-11,1211.22998,1220.03003,125815.0,920292.28,0.18561,0.00369,-27922.26
2005-07-11,2005-11-10,1220.03003,1232.41003,338296.0,999728.95,0.04157,0.16558,28420.09
2005-11-10,2006-03-10,1232.41003,1284.37,38109.0,952536.9,0.7029,0.0017,-28248.03
2006-03-10,2006-07-10,1284.37,1274.06006,254422.0,1319690.99,0.07231,0.81249,178140.08
2006-07-10,2006-11-10,1274.06006,1381.04004,18677.0,1169194.19,1.74768,0.0,-33389.42
2006-11-10,2007-03-02,1381.04004,1403.40002,826480.0,1250511.99,0.00244,0.07934,30496.31
2007-03-02,2007-07-10,1403.40002,1531.84998,85555.0,1251529.31,0.3755,0.00216,-35365.1
2007-07-10,2007-08-10,1531.84998,1462.02002,65829.0,2803607.27,0.53027,12.51574,786357.5
2007-08-10,2007-12-10,1462.02002,1518.27002,7514.0,2079796.42,7.86321,5.79025,-15878.22
2007-12-10,2008-03-10,1518.27002,1295.01001,10228.0,2166213.35,5.93216,23.54717,179756.32
2008-03-10,2008-06-10,1295.01001,1366.83997,10729.0,1970646.02,5.34325,0.01099,-57639.82
2008-06-10,2008-09-30,1366.83997,1168.03003,11123.0,4189266.1,5.27449,114.91147,1219046.13
2008-09-30,2008-10-10,1168.03003,936.35998,7367.0,3351996.14,11.8142,73.98091,457686.15
2008-10-10,2008-11-10,936.35998,951.95001,4426.0,3055184.92,18.98225,32.56382,59934.03
2008-11-10,2008-12-10,951.95001,908.27002,1577.0,2845415.34,55.33198,48.00864,-11612.91
2008-12-10,2009-01-12,908.27002,890.40002,1612.0,2698565.61,51.48714,20.11438,-50638.89
