purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1959-07-15,1959-11-10,59.59,57.48,248.0,95286.25,0.11989,0.18938,29.73,2973.27,1693.62
1959-11-10,1960-03-10,57.48,53.83,144.0,92760.07,0.19633,0.43235,28.27,2827.15,3370.42
1960-03-10,1960-07-11,53.83,56.87,91.0,94908.07,0.30326,0.00415,27.6,2759.67,-2749.5
1960-07-11,1960-09-28,56.87,52.48,467.0,113454.23,0.06059,0.60618,28.3,2829.55,25450.75
1960-09-28,1961-01-10,52.48,58.97,123.0,122380.49,0.27269,0.00258,33.54,3354.09,-3355.89
1961-01-10,1961-05-10,58.97,66.41,273.0,137347.64,0.13343,0.13721,36.43,3642.64,66.76
1961-05-10,1961-08-10,66.41,67.95,231.0,136274.68,0.17706,6e-05,40.9,4090.09,-4129.6
1961-08-10,1961-12-11,67.95,72.39,222.0,140754.58,0.18265,0.00176,40.55,4054.83,-4056.31
1961-12-11,1962-04-10,72.39,68.8,886.0,136045.18,0.04741,0.07151,42.01,4200.53,2093.25
1962-04-10,1962-05-11,68.8,64.1,722.0,167446.4,0.05617,0.61172,40.55,4055.47,40070.16
1962-05-11,1962-05-29,64.1,58.29,189.0,211277.45,0.2633,3.40665,49.76,4976.37,59359.55
1962-05-29,1962-08-10,58.29,57.85,115.0,201487.82,0.54489,0.05212,62.66,6266.24,-5729.52
1962-08-10,1962-11-12,57.85,60.0,263.0,202970.85,0.22815,0.01668,60.0,6000.34,-5621.66
1962-11-12,1963-02-11,60.0,66.41,248.0,217731.83,0.2436,0.0,60.41,6041.28,-6101.69
1963-02-11,1963-06-10,66.41,70.51,619.0,224092.63,0.10496,0.00097,64.97,6497.02,-6501.95
1963-06-10,1963-10-10,70.51,72.52,2047.0,225835.92,0.03267,0.01192,66.88,6687.55,-4314.4
1963-10-10,1964-02-10,72.52,77.77,956.0,234785.83,0.07046,0.00021,67.36,6735.98,-6783.26
1964-02-10,1964-06-10,77.77,79.84,3926.0,238324.4,0.01785,0.01187,70.08,7007.91,-2417.83
