purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1988-06-10,1988-09-12,273.20999,267.64002,66.0,94818.78,0.45095,0.07121,29.76,2976.27,-2536.04
1988-09-12,1989-01-10,267.64002,281.57999,26.0,96864.01,1.08391,0.04528,28.18,2818.17,-2728.62
1989-01-10,1989-05-10,281.57999,306.25,73.0,102296.52,0.39267,0.01622,28.66,2866.49,-2776.74
1989-05-10,1989-09-11,306.25,348.76001,86.0,113113.52,0.35199,0.01213,30.27,3027.11,-2953.07
1989-09-11,1990-01-10,348.76001,349.62,47.0,111017.64,0.70876,0.21135,33.31,3331.17,-2371.14
1990-01-10,1990-05-10,349.62,344.98001,59.0,107437.37,0.55386,0.19386,32.68,3267.77,-2156.68
1990-05-10,1990-08-23,344.98001,316.54999,87.0,132525.98,0.36655,4.19973,31.89,3188.98,33316.78
1990-08-23,1990-11-13,316.54999,319.48001,56.0,131434.27,0.70434,0.39923,39.44,3944.3,-1748.06
1990-11-13,1991-02-11,319.48001,368.57999,20.0,147222.32,1.87673,0.00133,37.53,3753.46,-3788.33
1991-02-11,1991-05-10,368.57999,383.91,47.0,148845.17,0.92519,0.01782,43.48,4348.39,-4308.12
1991-05-10,1991-09-10,383.91,388.63,21.0,147338.0,2.02901,0.48289,42.61,4260.92,-3289.46
1991-09-10,1992-01-10,388.63,417.62,30.0,155257.23,1.44028,0.54488,43.21,4320.84,-2729.41
1992-01-10,1992-04-10,417.62,405.12,52.0,146293.92,0.89102,0.04258,46.33,4633.3,-4458.22
1992-04-10,1992-08-10,405.12,419.42001,42.0,147274.9,1.03913,0.09064,43.64,4364.35,-4027.3
1992-08-10,1992-12-10,419.42001,435.66,59.0,148430.26,0.74256,0.0102,43.81,4381.1,-4364.73
1992-12-10,1993-04-12,435.66,448.37,234.0,160080.46,0.18894,0.50435,44.21,4421.2,7336.38
1993-04-12,1993-08-10,448.37,450.70999,22.0,156338.53,2.07903,0.08835,45.74,4573.87,-4425.24
1993-08-10,1993-12-10,450.70999,464.87,110.0,156578.69,0.42169,0.01497,46.39,4638.59,-4520.31
1993-12-10,1994-04-11,464.87,450.34,215.0,165959.28,0.21702,0.86707,46.66,4665.93,13929.42
1994-04-11,1994-08-10,450.34,460.48001,40.0,164668.24,1.20932,0.04939,48.37,4837.28,-4688.09
1994-08-10,1994-12-12,460.48001,449.48001,149.0,161843.73,0.32796,0.39316,48.87,4886.6,922.61
1994-12-12,1995-04-10,449.48001,507.01001,80.0,177038.24,0.59942,9e-05,47.95,4795.36,-4842.59
1995-04-10,1995-08-10,507.01001,560.63,472.0,190117.33,0.11176,0.00586,52.75,5275.07,-5051.23
1995-08-10,1995-12-11,560.63,620.90002,116.0,204227.98,0.48656,0.0032,56.44,5644.1,-5663.42
1995-12-11,1996-04-10,620.90002,642.78003,133.0,217725.88,0.45653,0.9409,60.72,6071.85,6381.4
1996-04-10,1996-08-12,642.78003,665.77002,18.0,220471.94,3.45526,0.88042,62.19,6219.47,-4696.9
1996-08-12,1996-12-10,665.77002,753.42999,19.0,242046.31,3.42499,0.00307,65.07,6507.48,-6566.72
1996-12-10,1997-04-10,753.42999,763.72998,103.0,255040.14,0.69749,1.63713,71.84,7184.15,9606.45
1997-04-10,1997-08-11,763.72998,938.5,18.0,303916.64,4.14436,0.06407,74.6,7459.85,-7419.12
1997-08-11,1997-12-10,938.5,975.78003,14.0,327677.4,6.20595,14.71563,86.88,8688.33,11826.67
1997-12-10,1998-03-10,975.78003,1064.58997,7.0,346583.01,13.83163,0.00234,96.82,9682.14,-9777.32
1998-03-10,1998-07-10,1064.58997,1166.93005,23.0,369947.44,4.34469,0.46825,99.93,9992.79,-9015.74
1998-07-10,1998-09-01,1166.93005,1000.71002,19.0,441054.08,5.71761,69.35067,108.63,10863.46,120794.18
1998-09-01,1998-12-10,1000.71002,1183.77002,10.0,504763.14,12.65325,0.00037,126.53,12653.25,-12779.41
1998-12-10,1999-03-10,1183.77002,1287.02002,32.0,533581.97,4.6106,0.31937,147.54,14753.92,-13879.48
1999-03-10,1999-06-10,1287.02002,1318.64001,19.0,532074.96,8.08308,0.65235,153.58,15357.85,-14271.97
