purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1976-06-01,1976-10-12,100.74,102.19,11634.0,98210.98,0.21786,0.09441,-1902.22
1976-10-12,1977-02-10,102.19,101.51,9088.0,94288.43,0.28056,0.06194,-2350.82
1977-02-10,1977-06-10,101.51,98.86,22955.0,96246.26,0.08249,0.18902,1525.4
1977-06-10,1977-10-11,98.86,95.97,15952.0,87468.68,0.13284,0.04941,-1970.88
1977-10-11,1977-11-29,95.97,96.09,41374.0,102144.34,0.02285,0.23766,7231.55
1977-11-29,1978-03-10,96.09,89.25,9148.0,89984.51,0.26272,0.39778,869.53
1978-03-10,1978-07-10,89.25,95.67,27440.0,89185.43,0.0544,0.00952,-2329.51
1978-07-10,1978-11-10,95.67,95.39,14852.0,104957.56,0.13961,0.66069,7143.08
1978-11-10,1979-03-12,95.39,100.04,3368.0,96608.59,0.80733,0.01378,-2808.68
1979-03-12,1979-07-10,100.04,105.17,21374.0,97668.5,0.09553,0.00277,-2838.65
1979-07-10,1979-10-22,105.17,101.38,37808.0,127673.22,0.03745,0.50242,16065.59
1979-10-22,1980-02-11,101.38,119.05,10051.0,123079.25,0.28437,0.00089,-3253.26
1980-02-11,1980-03-17,119.05,105.23,17644.0,187344.12,0.16925,2.34045,37602.65
1980-03-17,1980-07-10,105.23,118.57,7672.0,158677.03,0.53109,0.00847,-4317.54
1980-07-10,1980-11-10,118.57,130.51,12774.0,171984.97,0.33249,0.1269,-3138.21
1980-11-10,1981-03-10,130.51,132.64,6108.0,168793.57,0.79667,0.09439,-4535.53
1981-03-10,1981-07-10,132.64,130.42999,25089.0,161849.32,0.16114,0.04929,-3810.2
1981-07-10,1981-09-04,130.42999,121.54,69710.0,204817.81,0.02912,0.4483,26431.04
1981-09-04,1982-01-11,121.54,120.34,35818.0,178112.88,0.10537,0.18458,1403.14
1982-01-11,1982-05-10,120.34,119.49,24138.0,168296.17,0.17315,0.08453,-3105.11
1982-05-10,1982-07-29,119.49,107.92,42556.0,220057.87,0.0772,0.89493,33095.32
1982-07-29,1982-11-10,107.92,144.36,36764.0,239294.74,0.10849,0.0737,-2751.02
1982-11-10,1983-02-10,144.36,147.75,3000.0,236242.98,2.32528,0.26147,-6311.43
1983-02-10,1983-06-10,147.75,162.76,4381.0,251453.01,1.57202,0.01495,-6997.52
1983-06-10,1983-10-11,162.76,172.59,20951.0,259370.5,0.31995,0.0414,-6675.9
1983-10-11,1984-02-10,172.59,156.52,23739.0,297847.08,0.28668,1.50544,27982.14
1984-02-10,1984-06-11,156.52,155.17,34456.0,257228.87,0.18821,0.10004,-4417.99
1984-06-11,1984-10-10,155.17,162.11999,58452.0,256513.8,0.09025,0.01485,-6747.28
1984-10-10,1985-02-11,162.11999,182.19,61232.0,278020.6,0.08525,0.01569,-6709.3
1985-02-11,1985-06-10,182.19,189.67999,15534.0,279245.12,0.49505,0.00579,-8222.16
1985-06-10,1985-10-10,189.67999,182.78999,88117.0,316672.21,0.05504,0.33675,21297.44
1985-10-10,1986-02-10,182.78999,216.24,45239.0,327998.66,0.15032,0.00808,-8244.8
1986-02-10,1986-06-10,216.24,240.08,9612.0,354700.75,0.98254,0.12311,-8646.84
1986-06-10,1986-10-10,240.08,236.27,6562.0,381747.67,1.5762,3.40018,11704.96
1986-10-10,1987-02-10,236.27,278.16,2856.0,410420.99,3.73474,0.03326,-10687.43
1987-02-10,1987-06-10,278.16,300.81,5769.0,443182.06,2.09369,1.1353,-5760.95
1987-06-10,1987-10-13,300.81,314.53,2906.0,450964.61,4.46711,1.42661,-8953.69
1987-10-13,1987-10-19,314.53,282.70001,3675.0,735911.76,3.60696,47.14753,159863.59
1987-10-19,1987-11-10,282.70001,243.17,1155.0,543420.11,14.56605,32.43641,20592.27
1987-11-10,1987-12-10,243.17,240.05,757.0,510409.57,19.98565,17.25344,-2100.28
1987-12-10,1988-01-11,240.05,247.51,738.0,500887.78,20.17593,2.38331,-13160.95
1988-01-11,1988-04-11,247.51,270.41,1683.0,528843.01,8.85699,0.0208,-14939.31
1988-04-11,1988-08-10,270.41,266.48999,6601.0,528246.5,2.36296,1.75131,-4303.5
1988-08-10,1988-12-12,266.48999,278.82001,8460.0,527592.33,1.79209,0.2127,-13701.64
