purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,profit/loss
1973-02-14,1973-03-22,116.92,110.39,268425104989247.0,5450695350903231.0,0.00983,0.10416,1319309391022.15,1264707698290761.2
1973-03-22,1973-05-21,110.39,103.77,108957528259556.0,6735263168979336.0,0.02971,0.32595,1618564082295.7,1612260344498247.8
1973-05-21,1973-09-10,103.77,105.12,26717168532267.0,6554675885265914.0,0.14971,0.00114,1999913650482.85,-200468400092428.25
1973-09-10,1973-11-19,105.12,103.65,544397882061524.0,9705274882292706.0,0.00719,0.1239,1957110386011.18,3174876730384012.0
1973-11-19,1973-12-12,103.65,95.52,44436988294303.0,1.1937619575451828e+16,0.12948,1.48958,2876850622173.18,3019060538331902.5
1973-12-12,1974-03-11,95.52,99.4,27507381179671.0,1.1920697658069716e+16,0.25765,0.00054,3543638380471.12,-357164777135731.7
1974-03-11,1974-07-09,99.4,82.5,44177639814176.0,1.3327905057260708e+16,0.16109,1.65893,3558287998832.81,3304993512964436.0
1974-07-09,1974-08-29,82.5,71.22,46881568090852.0,1.5074651005791408e+16,0.16879,1.69049,3956569939027.45,3563027538253446.5
1974-08-29,1974-11-11,71.22,75.7,62224872483106.0,1.5677408155842362e+16,0.14387,0.10053,4476146202072.23,-139317444872962.95
1974-11-11,1975-02-10,75.7,79.4,12663621503529.0,1.5941080430176908e+16,0.73878,0.0021,4677815147188.58,-471129649608175.75
1975-02-10,1975-06-10,79.4,91.21,26057720780998.0,1.7751520043544684e+16,0.36522,0.00092,4758400391818.04,-479399784417696.75
1975-06-10,1975-10-10,91.21,89.17,92466449204079.0,1.8067634063663772e+16,0.11461,0.26415,5298789871639.75,686072850827259.0
1975-10-10,1976-02-10,89.17,100.96,30819816993552.0,1.97992984787223e+16,0.34951,0.00015,5385917118708.18,-543746480362074.5
1976-02-10,1976-06-10,100.96,99.98,245932397611629.0,1.9030114470792788e+16,0.04806,0.00183,5909755514607.44,-574382492593888.0
1976-06-10,1976-10-12,99.98,102.19,2331584167059804.0,1.90068617881824e+16,0.00487,0.00127,5677407446790.62,-425362557517555.25
1976-10-12,1977-02-10,102.19,101.51,852721285076532.0,1.8312546825943012e+16,0.0133,0.00023,5670596545758.94,-562923956343272.6
1977-02-10,1977-05-27,101.51,97.26,1.0950092392660546e+16,2.260225483786928e+16,0.001,0.01002,5475046196330.27,4933016622893576.0
1977-05-27,1977-09-12,97.26,96.64,2514866899207565.0,2.161507347423695e+16,0.00534,0.00025,6714694620884.2,-646748320469209.5
1977-09-12,1977-11-30,96.64,95.17,1.2323837308246698e+16,2.810801125053788e+16,0.00105,0.01189,6470014586829.52,6673049806482879.0
1977-11-30,1978-03-10,95.17,89.25,1298559629324195.0,2.5539167571854092e+16,0.01286,0.00345,8349738416554.57,-619322044013588.4
1978-03-10,1978-07-10,89.25,95.67,2.2871963431226116e+16,2.6601714981938884e+16,0.00067,5e-05,7662107749460.75,-716692974117470.4
1978-07-10,1978-11-01,95.67,97.41,3026089387913688.0,3.463406464890212e+16,0.00525,0.05429,7943484643273.43,7412027694521089.0
1978-11-01,1979-03-12,97.41,100.04,154537409106148.0,3.4191279660210704e+16,0.13316,0.00012,10289100698287.33,-1038271946072383.9
1979-03-12,1979-07-10,100.04,105.17,7003811493663667.0,3.484649302011837e+16,0.00291,0.0,10190545723280.64,-1029245118051344.1
1979-07-10,1979-10-10,105.17,106.23,5.744355141406864e+16,6.162550230843363e+16,0.00036,0.00939,10339839254532.36,2.5925423624197464e+16
1979-10-10,1980-02-11,106.23,119.05,1667358776355775.0,6.58874500020153e+16,0.02187,5e-05,18232568219450.4,-1837320993223601.0
1980-02-11,1980-03-06,119.05,111.29,3774178089087473.0,8.046183900061642e+16,0.01042,0.1078,19663467844145.74,1.8356809647922764e+16
1980-03-06,1980-03-24,111.29,102.18,1571291734758292.0,1.0482134106033082e+17,0.03042,0.42196,23899347285673.62,3.073727894407741e+16
1980-03-24,1980-07-10,102.18,118.57,485974365008681.0,1.1656902830817141e+17,0.12795,3e-05,31090210001430.36,-3139382248596954.0
1980-07-10,1980-11-10,118.57,130.51,2891753533928529.0,1.2585154069695757e+17,0.02407,0.00986,34802253780829.85,-2089393139637049.5
1980-11-10,1981-03-10,130.51,132.64,510147076727926.0,1.2407058444856874e+17,0.14724,0.0026,37557027788709.92,-3726940686685070.5
1981-03-10,1981-07-10,132.64,130.42999,7528765494285253.0,1.1845431255328354e+17,0.00984,0.00044,37041526231883.44,-3575561308545952.5
1981-07-10,1981-08-24,130.42999,128.59,1.3465996371746024e+17,1.535493080279742e+17,0.00053,0.00587,35684890385126.96,3.5918525422176756e+16
1981-08-24,1981-09-08,128.59,120.12,2.0617502900841676e+16,1.856409080837911e+17,0.00442,0.04539,45564681410860.11,4.218939001096331e+16
1981-09-08,1982-01-11,120.12,120.34,1.144966380744168e+16,1.8220581365904502e+17,0.00963,0.00581,55130131232831.69,-2242015918454192.2
1982-01-11,1982-02-23,120.34,112.46,8367408009737871.0,2.3538843940889056e+17,0.013,0.16478,54388152063296.16,6.344587123383741e+16
1982-02-23,1982-06-10,112.46,109.7,2753898924871355.0,2.205393755809724e+17,0.05073,0.00124,69852646229361.91,-6884375535823530.0
1982-06-10,1982-08-04,109.7,107.83,1.191067464385442e+17,3.2175512868307725e+17,0.00111,0.01837,66104244273392.03,1.0272301793219026e+17
