purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1959-07-15,1959-11-10,59.59,57.48,753.0,95587.05,0.06601,0.091,49.71,4970.55,1832.04
1959-11-10,1960-03-10,57.48,53.83,388.0,95260.92,0.12242,0.26392,47.5,4749.9,5442.7
1960-03-10,1960-07-11,53.83,56.87,238.0,95321.46,0.19849,0.00062,47.24,4724.06,-4756.55
1960-07-11,1960-09-19,56.87,53.86,1585.0,138199.45,0.02992,0.32858,47.42,4742.32,47290.19
1960-09-19,1961-01-10,53.86,58.97,337.0,141460.27,0.2032,0.0008,68.48,6847.84,-6889.36
1961-01-10,1961-05-10,58.97,66.41,966.0,156122.08,0.07285,0.0515,70.37,7037.31,-2132.78
1961-05-10,1961-08-10,66.41,67.95,438.0,151626.18,0.17706,6e-05,77.55,7755.23,-7830.15
1961-08-10,1961-12-11,67.95,72.39,726.0,153246.1,0.10382,0.00017,75.37,7537.33,-7600.36
1961-12-11,1962-04-10,72.39,68.8,3396.0,147972.22,0.02245,0.02864,76.24,7624.02,2025.88
1962-04-10,1962-05-09,68.8,65.17,2841.0,218797.15,0.02589,0.29894,73.55,7355.35,77499.95
1962-05-09,1962-05-28,65.17,59.15,767.0,359850.5,0.14126,2.24497,108.35,10834.64,161246.21
1962-05-28,1962-08-10,59.15,57.85,540.0,331884.49,0.32948,0.07422,177.92,17791.92,-13961.96
1962-08-10,1962-11-12,57.85,60.0,723.0,327762.91,0.22815,0.01668,164.95,16495.24,-15454.23
1962-11-12,1963-02-11,60.0,66.41,669.0,344106.84,0.2436,0.0,162.97,16296.84,-16459.81
1963-02-11,1963-06-10,66.41,70.51,2962.0,346577.92,0.05778,0.0001,171.14,17114.44,-17255.96
1963-06-10,1963-10-10,70.51,72.52,12551.0,341313.5,0.01374,0.00251,172.45,17245.07,-14267.22
1963-10-10,1963-11-26,72.52,72.74,4877.0,542158.04,0.03481,0.44126,169.77,16976.84,198055.9
1963-11-26,1964-03-10,72.74,78.9,489.0,550988.21,0.54932,0.0,268.62,26861.75,-27130.37
1964-03-10,1964-07-10,78.9,83.99,141910.0,560551.59,0.00193,0.00028,273.89,27388.63,-23689.04
1964-07-10,1964-11-10,83.99,85.55,10992.0,541979.82,0.02537,0.00017,278.87,27886.7,-27978.71
1964-11-10,1965-03-10,85.55,87.07,45538.0,528495.02,0.00592,0.00111,269.58,26958.5,-22173.36
1965-03-10,1965-06-28,87.07,83.34,16452.0,809895.65,0.01598,0.19852,262.9,26290.3,300051.91
1965-06-28,1965-10-11,83.34,91.84,2266.0,837063.21,0.17706,0.0,401.22,40121.8,-40523.02
1965-10-11,1966-02-10,91.84,94.7,52257.0,820876.0,0.00797,0.00035,416.49,41648.83,-40236.32
