Date,Equity1
1976-06-01,95684.23
1976-06-02,95448.19
1976-06-03,95785.71
1976-06-04,95081.21
1976-06-07,94303.5
1976-06-08,94469.94
1976-06-09,94287.15
1976-06-10,94696.9
1976-06-11,95869.31
1976-06-14,97039.2
1976-06-15,96908.56
1976-06-16,97032.73
1976-06-17,98459.75
1976-06-18,99067.13
1976-06-21,98989.78
1976-06-22,99094.2
1976-06-23,98254.64
1976-06-24,98682.87
1976-06-25,98832.93
1976-06-28,98649.76
1976-06-29,98611.15
1976-06-30,99280.33
1976-07-01,99200.71
1976-07-02,98795.57
1976-07-06,98916.47
1976-07-07,98472.86
1976-07-08,98952.13
1976-07-09,99581.65
1976-07-12,100406.89
1976-07-13,100841.53
1976-07-14,100680.91
1976-07-15,100355.61
1976-07-16,99453.16
1976-07-19,99487.96
1976-07-20,98789.3
1976-07-21,98728.69
1976-07-22,98597.0
1976-07-23,98868.7
1976-07-26,98849.56
1976-07-27,98680.39
1976-07-28,97808.32
1976-07-29,97817.2
1976-07-30,98089.99
1976-08-02,98176.7
1976-08-03,98657.4
1976-08-04,99306.88
1976-08-05,98913.01
1976-08-06,98431.14
1976-08-09,98209.84
1976-08-10,98860.12
1976-08-11,99359.99
1976-08-12,98793.7
1976-08-13,98934.44
1976-08-16,99123.23
1976-08-17,99368.66
1976-08-18,99519.68
1976-08-19,98887.29
1976-08-20,97537.8
1976-08-23,96764.19
1976-08-24,96915.48
1976-08-25,96689.83
1976-08-26,96859.82
1976-08-27,96208.68
1976-08-30,96783.79
1976-08-31,97604.87
1976-09-01,98474.09
1976-09-02,98983.18
1976-09-03,98784.25
1976-09-07,99425.68
1976-09-08,99822.05
1976-09-09,99246.39
1976-09-10,99161.29
1976-09-13,99406.62
1976-09-14,98660.99
1976-09-15,98849.68
1976-09-16,99689.97
1976-09-17,100841.62
1976-09-20,101209.67
1976-09-21,102087.96
1976-09-22,102644.65
1976-09-23,101927.42
1976-09-24,101361.19
1976-09-27,101681.95
1976-09-28,101532.22
1976-09-29,100503.83
1976-09-30,99928.76
1976-10-01,99845.74
1976-10-04,98782.43
1976-10-05,98437.5
1976-10-06,97935.68
1976-10-07,98105.69
1976-10-08,98205.6
1976-10-12,96539.6
1976-10-12,91889.86
1976-10-13,92387.16
1976-10-14,92536.91
1976-10-15,91900.74
1976-10-18,92026.65
1976-10-19,91994.93
1976-10-20,92010.14
1976-10-21,92118.88
1976-10-22,91256.27
1976-10-25,91027.17
1976-10-26,91723.24
1976-10-27,92060.87
1976-10-28,92072.91
1976-10-29,92763.77
1976-11-01,93209.72
1976-11-03,92417.58
1976-11-04,92933.25
1976-11-05,93074.67
1976-11-08,92523.46
1976-11-09,92377.43
1976-11-10,92390.02
1976-11-12,92108.94
1976-11-15,91944.22
1976-11-16,92341.06
1976-11-17,91829.37
1976-11-18,92820.17
1976-11-19,93120.42
1976-11-22,93474.98
1976-11-23,93305.98
1976-11-24,93021.93
1976-11-26,93525.14
1976-11-29,93534.66
1976-11-30,92915.94
1976-12-01,93128.46
1976-12-02,93204.85
1976-12-03,93281.16
1976-12-06,93826.98
1976-12-07,93835.77
1976-12-08,93741.91
1976-12-09,94316.01
1976-12-10,94271.88
1976-12-13,94129.11
1976-12-14,94226.56
1976-12-15,94597.71
1976-12-16,94295.04
1976-12-17,94365.96
1976-12-20,93514.87
1976-12-21,93509.4
1976-12-22,94309.41
1976-12-23,94197.81
1976-12-27,94925.89
1976-12-28,95846.46
1976-12-29,95661.61
1976-12-30,95874.89
1976-12-31,96224.54
1977-01-03,96357.76
1977-01-04,95765.22
1977-01-05,94658.83
1977-01-06,94470.81
1977-01-07,94228.15
1977-01-10,94368.2
1977-01-11,94238.63
1977-01-12,92982.04
1977-01-13,93358.24
1977-01-14,93452.38
1977-01-17,93140.09
1977-01-18,93069.7
1977-01-19,93148.67
1977-01-20,93212.71
1977-01-21,92732.59
1977-01-24,92862.05
1977-01-25,92877.76
1977-01-26,92346.32
1977-01-27,91751.86
1977-01-28,91573.73
1977-01-31,91419.34
1977-02-01,91967.87
1977-02-02,92199.04
1977-02-03,91531.11
1977-02-04,91654.97
1977-02-07,91405.19
1977-02-08,91600.97
1977-02-09,90918.34
1977-02-10,90589.9
1977-02-10,85783.8
1977-02-11,85522.98
1977-02-14,85431.42
1977-02-15,85921.16
1977-02-16,86368.63
1977-02-17,85988.95
1977-02-18,85474.06
1977-02-22,85498.19
1977-02-23,85262.23
1977-02-24,84820.5
1977-02-25,84479.53
1977-02-28,84509.16
1977-03-01,85332.54
1977-03-02,85497.29
1977-03-03,85529.61
1977-03-04,85858.28
1977-03-07,85942.39
1977-03-08,86009.73
1977-03-09,85198.95
1977-03-10,85258.12
1977-03-11,85602.04
1977-03-14,85924.08
1977-03-15,86650.42
1977-03-16,86726.18
1977-03-17,86624.36
1977-03-18,86649.11
1977-03-21,86243.77
1977-03-22,85779.41
1977-03-23,85645.41
1977-03-24,84952.85
1977-03-25,84489.58
1977-03-28,84059.67
1977-03-29,84551.04
1977-03-30,84449.61
1977-03-31,83740.33
1977-04-01,84109.34
1977-04-04,84071.75
1977-04-05,83339.46
1977-04-06,83343.9
1977-04-07,83362.06
1977-04-11,83960.8
1977-04-12,84995.48
1977-04-13,85101.1
1977-04-14,86233.14
1977-04-15,85863.38
1977-04-18,85636.38
1977-04-19,85183.3
1977-04-20,85323.51
1977-04-21,85512.98
1977-04-22,84362.26
1977-04-25,83591.43
1977-04-26,83318.24
1977-04-27,83660.32
1977-04-28,83859.73
1977-04-29,83880.57
1977-05-02,84162.81
1977-05-03,84698.49
1977-05-04,85163.03
1977-05-05,85290.58
1977-05-06,84832.95
1977-05-09,84514.21
1977-05-10,84701.63
1977-05-11,84450.91
1977-05-12,84050.82
1977-05-13,84266.06
1977-05-16,84626.68
1977-05-17,84715.76
1977-05-18,85367.76
1977-05-19,85187.21
1977-05-20,84689.93
1977-05-23,84202.21
1977-05-24,83472.01
1977-05-25,83436.11
1977-05-26,82817.77
1977-05-27,82776.32
1977-05-31,82303.17
1977-06-01,82605.1
1977-06-02,82776.34
1977-06-03,83306.64
1977-06-06,83384.61
1977-06-07,83207.56
1977-06-08,83581.85
1977-06-09,83479.45
1977-06-10,83617.68
1977-06-10,78665.6
1977-06-13,78926.77
1977-06-14,79672.98
1977-06-15,79800.13
1977-06-16,79809.85
1977-06-17,79892.84
1977-06-20,80053.51
1977-06-21,80534.65
1977-06-22,80267.19
1977-06-23,80285.71
1977-06-24,80722.06
1977-06-27,80706.32
1977-06-28,80497.05
1977-06-29,79809.09
1977-06-30,80114.61
1977-07-01,80020.7
1977-07-05,79985.12
1977-07-06,79741.53
1977-07-07,79654.88
1977-07-08,79903.49
1977-07-11,79539.77
1977-07-12,79420.62
1977-07-13,79403.58
1977-07-15,79950.36
1977-07-18,80521.46
1977-07-19,81133.17
1977-07-20,81449.41
1977-07-21,81144.63
1977-07-22,81215.93
1977-07-25,80874.08
1977-07-26,80135.53
1977-07-27,79644.59
1977-07-28,78910.36
1977-07-29,78785.93
1977-08-01,79283.17
1977-08-02,78829.46
1977-08-03,78503.76
1977-08-04,78764.26
1977-08-05,78961.41
1977-08-08,78504.98
1977-08-09,78322.12
1977-08-10,78666.75
1977-08-11,78970.34
1977-08-12,78226.22
1977-08-15,78265.51
1977-08-16,78297.76
1977-08-17,78138.01
1977-08-18,78366.74
1977-08-19,78049.89
1977-08-22,78049.99
1977-08-23,78230.24
1977-08-24,77810.63
1977-08-25,77174.78
1977-08-26,76577.66
1977-08-29,77238.69
1977-08-30,77475.33
1977-08-31,77048.62
1977-09-01,77467.67
1977-09-02,77644.61
1977-09-06,77934.72
1977-09-07,78131.64
1977-09-08,78176.43
1977-09-09,77154.44
1977-09-12,76786.78
1977-09-13,76705.74
1977-09-14,76944.64
1977-09-15,77283.52
1977-09-16,77276.04
1977-09-19,76723.88
1977-09-20,76481.49
1977-09-21,76665.25
1977-09-22,75921.34
1977-09-23,75983.91
1977-09-26,75976.71
