purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1976-06-01,1976-10-12,100.74,102.19,60679.0,94171.21,0.00944,0.00098,-2941.34
1976-10-12,1977-02-10,102.19,101.51,52970.0,88481.94,0.0133,0.00023,-2812.32
1977-02-10,1977-06-10,101.51,98.86,64734.0,81165.44,0.001,0.00213,-2516.85
1977-06-10,1977-10-11,98.86,95.97,56544.0,73944.34,0.00299,6e-05,-2427.67
1977-10-11,1977-11-02,95.97,91.59,55344.0,66480.99,8e-05,0.00308,-2047.97
1977-11-02,1978-03-10,91.59,89.25,49277.0,60644.55,0.00037,0.00029,-1975.94
1978-03-10,1978-07-10,89.25,95.67,44723.0,61161.47,0.00067,5e-05,-1817.73
1978-07-10,1978-11-10,95.67,95.39,40547.0,64033.85,0.00525,0.08116,1455.92
1978-11-10,1979-03-12,95.39,100.04,9644.0,61399.36,0.14895,8e-05,-1821.7
1979-03-12,1979-07-10,100.04,105.17,42926.0,60846.25,0.00291,0.0,-1842.91
1979-07-10,1979-10-15,105.17,104.74,45227.0,58225.74,0.00036,0.01465,-1163.71
1979-10-15,1980-02-11,104.74,119.05,27363.0,62311.45,0.02311,3e-05,-1727.54
1980-02-11,1980-03-14,119.05,106.49,37075.0,76680.13,0.01042,0.32561,10201.67
1980-03-14,1980-07-10,106.49,118.57,21576.0,68733.01,0.04983,0.00016,-1935.68
1980-07-10,1980-11-10,118.57,130.51,32181.0,72675.78,0.02407,0.00986,-1745.29
1980-11-10,1981-03-10,130.51,132.64,11593.0,70877.58,0.14724,0.0026,-2140.81
1981-03-10,1981-07-10,132.64,130.42999,42644.0,65870.31,0.00984,0.00044,-2106.85
1981-07-10,1981-09-03,130.42999,124.16,48742.0,60652.53,0.00053,0.01898,-1050.71
1981-09-03,1982-01-11,124.16,120.34,39302.0,55527.08,0.00559,0.01264,-1296.92
1982-01-11,1982-05-10,120.34,119.49,31149.0,51808.61,0.013,0.00157,-1602.03
1982-05-10,1982-08-04,119.49,107.83,36220.0,53323.06,0.00287,0.13129,3201.37
1982-08-04,1982-12-10,107.83,141.14999,27193.0,60933.23,0.01358,0.00763,-1249.8
1982-12-10,1983-03-10,141.14999,154.01,3417.0,64090.74,0.49306,0.00019,-1822.14
1983-03-10,1983-07-11,154.01,168.11,6364.0,67567.52,0.26209,0.00024,-1922.41
1983-07-11,1983-11-10,168.11,164.71001,33873.0,63285.16,0.01984,0.0067,-1801.09
1983-11-10,1984-03-12,164.71001,156.35001,38749.0,61328.28,0.00882,0.06257,532.76
1984-03-12,1984-07-10,156.35001,153.53,24250.0,55385.86,0.03287,0.00537,-1636.88
1984-07-10,1984-11-13,153.53,167.38001,35172.0,56992.53,0.00713,3e-05,-1657.72
1984-11-13,1985-03-11,167.38001,179.46001,37568.0,57733.14,0.00551,0.00011,-1706.87
1985-03-11,1985-07-10,179.46001,192.36999,36095.0,58545.16,0.00798,0.0,-1732.04
1985-07-10,1985-11-12,192.36999,198.66,42444.0,56981.46,0.00138,0.00082,-1721.77
1985-11-12,1986-03-10,198.66,226.98,32652.0,61767.76,0.01232,1e-05,-1709.95
1986-03-10,1986-07-10,226.98,243.44,33430.0,65211.73,0.01543,0.03495,-685.45
1986-07-10,1986-11-10,243.44,246.22,4377.0,62656.11,0.39892,0.00206,-1913.06
1986-11-10,1987-03-10,246.22,290.87,33699.0,70414.74,0.01577,0.00043,-1864.94
1987-03-10,1987-07-10,290.87,308.39999,7848.0,72361.21,0.2291,0.01969,-1957.45
1987-07-10,1987-10-19,308.39999,282.70001,7702.0,464390.19,0.24124,26.00035,198086.67
1987-10-19,1987-11-10,282.70001,243.17,1207.0,262414.21,6.52186,17.90189,13685.7
1987-11-10,1987-12-10,243.17,240.05,642.0,241806.79,11.20443,8.84626,-1539.95
1987-12-10,1988-01-11,240.05,247.51,617.0,236548.66,11.42598,0.33887,-6866.75
1988-01-11,1988-04-11,247.51,270.41,2078.0,250316.8,3.37075,6e-05,-7088.29
1988-04-11,1988-08-10,270.41,266.48999,17229.0,244500.04,0.39584,0.17289,-4531.21
1988-08-10,1988-12-12,266.48999,278.82001,23802.0,244396.47,0.26441,0.00577,-7110.15
1988-12-12,1989-04-10,278.82001,297.94,67091.0,250576.52,0.06922,0.00117,-7249.54
1989-04-10,1989-08-10,297.94,349.78,91746.0,281499.97,0.04191,3e-05,-7512.32
1989-08-10,1989-11-07,349.78,334.82001,79797.0,582984.63,0.06583,2.03556,153986.54
1989-11-07,1990-03-12,334.82001,339.07999,7362.0,412667.39,1.67352,0.04896,-12256.01
1990-03-12,1990-07-10,339.07999,359.73999,59163.0,422088.74,0.16907,0.00198,-12253.55
1990-07-10,1990-08-21,359.73999,328.51001,127689.0,854282.0,0.05914,1.90177,230175.58
1990-08-21,1990-12-10,328.51001,328.97,33355.0,614312.17,0.50994,0.34547,-6821.9
1990-12-10,1991-04-10,328.97,374.82999,22797.0,665444.66,0.75324,0.00452,-17980.57
1991-04-10,1991-08-12,374.82999,388.17001,45277.0,666862.7,0.40084,0.00494,-19737.16
1991-08-12,1991-12-10,388.17001,379.57001,182125.0,719455.95,0.06981,0.25953,27266.75
1991-12-10,1992-04-10,379.57001,405.12,47764.0,694062.11,0.38219,0.00196,-20073.31
1992-04-10,1992-08-10,405.12,419.42001,155482.0,690882.0,0.0939,0.00101,-20662.72
1992-08-10,1992-12-10,419.42001,435.66,285345.0,684397.45,0.03262,0.0,-20721.95
1992-12-10,1993-02-24,435.66,440.87,508341.0,664020.05,0.00039,0.01249,-14183.07
1993-02-24,1993-06-10,440.87,446.22,240171.0,636942.18,0.04215,0.00215,-19214.84
1993-06-10,1993-10-12,446.22,462.47,307057.0,627396.38,0.02218,0.0,-19094.52
1993-10-12,1994-02-10,462.47,473.13,467740.0,604314.38,0.00024,0.00061,-18536.94
1994-02-10,1994-05-11,473.13,446.03,337761.0,823630.16,0.01365,0.4218,124345.15
1994-05-11,1994-09-12,446.03,468.42001,92398.0,689683.58,0.18116,0.0,-20434.82
1994-09-12,1994-10-04,468.42001,462.45999,511129.0,662448.33,0.00048,0.02203,-9431.17
1994-10-04,1995-02-10,462.45999,481.95999,363996.0,643585.47,0.01367,0.0,-19535.83
1995-02-10,1995-03-10,481.95999,490.37,482689.0,615814.39,0.0,0.0001,-19259.73
1995-03-10,1995-07-10,490.37,558.47998,457026.0,661825.3,0.00042,1e-05,-18469.38
1995-07-10,1995-11-10,558.47998,593.26001,227533.0,672687.58,0.04726,0.0,-19855.21
1995-11-10,1996-01-11,593.26001,602.71002,495108.0,673106.45,0.00076,0.03042,-5121.1
1996-01-11,1996-05-10,602.71002,653.0,146210.0,685898.63,0.09502,0.00092,-19608.36
1996-05-10,1996-09-10,653.0,665.57001,146447.0,680181.83,0.10048,0.02777,-16506.16
1996-09-10,1997-01-10,665.57001,759.65002,90688.0,744957.64,0.18366,0.00084,-20207.58
1997-01-10,1997-05-12,759.65002,838.56,62526.0,830676.5,0.31739,0.28523,-4512.84
1997-05-12,1997-09-10,838.56,933.61999,6918.0,880045.63,3.48462,0.18297,-23118.81
1997-09-10,1998-01-12,933.61999,939.25,7807.0,881206.13,3.33684,1.53829,-14355.28
1998-01-12,1998-05-11,939.25,1119.13,7293.0,1004152.08,3.53536,0.00016,-26074.21
1998-05-11,1998-08-31,1119.13,1033.46997,55549.0,3535394.72,0.5023,23.74632,1288960.07
1998-08-31,1998-11-10,1033.46997,1135.37,11174.0,2362011.56,5.91028,0.15241,-64786.44
1998-11-10,1999-02-10,1135.37,1226.78003,12068.0,2474181.66,5.82739,0.04166,-70306.19
1999-02-10,1999-06-10,1226.78003,1318.64001,8334.0,2595403.18,8.864,1.00795,-65806.32
1999-06-10,1999-10-12,1318.64001,1335.20996,11643.0,2594540.75,6.62575,2.32693,-50517.16
1999-10-12,2000-02-10,1335.20996,1422.09998,13068.0,2700133.37,5.8536,1.84627,-52891.79
2000-02-10,2000-05-10,1422.09998,1412.14001,27966.0,2877927.21,2.83055,5.39185,70509.32
2000-05-10,2000-08-10,1412.14001,1475.15002,5678.0,2763053.82,14.36871,0.00307,-81796.1
2000-08-10,2000-12-11,1475.15002,1389.05005,38650.0,3950916.14,2.10462,18.48366,631503.9
