purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1959-07-15,1959-11-10,59.59,57.48,452.0,94686.18,0.06601,0.091,29.84,2983.65,1099.71
1959-11-10,1960-03-10,57.48,53.83,230.0,92076.49,0.12242,0.26392,28.16,2815.66,3226.34
1960-03-10,1960-07-11,53.83,56.87,138.0,94184.61,0.19849,0.00062,27.39,2739.16,-2758.0
1960-07-11,1960-11-10,56.87,56.43,939.0,111854.12,0.02992,0.22456,28.09,2809.49,18248.61
1960-11-10,1961-03-10,56.43,63.48,77.0,121157.92,0.43082,0.00017,33.17,3317.31,-3349.18
1961-03-10,1961-07-10,63.48,65.71,630.0,122851.76,0.05737,0.02062,36.14,3614.31,-2351.39
1961-07-10,1961-11-10,65.71,71.07,228.0,129037.24,0.16012,0.00981,36.51,3650.74,-3463.58
1961-11-10,1962-03-12,71.07,70.76,195.0,124693.21,0.19748,0.00914,38.51,3850.86,-3711.14
1962-03-12,1962-05-28,70.76,59.15,954.0,433866.53,0.03898,3.45451,37.19,3718.69,325804.37
1962-05-28,1962-08-10,59.15,57.85,390.0,401280.87,0.32948,0.07422,128.5,12849.72,-10083.64
1962-08-10,1962-11-12,57.85,60.0,524.0,404268.12,0.22815,0.01668,119.55,11955.06,-11200.58
1962-11-12,1963-02-11,60.0,66.41,495.0,433637.25,0.2436,0.0,120.58,12058.2,-12178.78
1963-02-11,1963-06-10,66.41,70.51,2240.0,446208.95,0.05778,0.0001,129.43,12942.72,-13049.75
1963-06-10,1963-10-10,70.51,72.52,9695.0,447231.05,0.01374,0.00251,133.21,13320.93,-11020.7
1963-10-10,1964-02-10,72.52,77.77,3834.0,464876.91,0.03481,1e-05,133.46,13346.15,-13475.78
1964-02-10,1964-06-10,77.77,79.84,20363.0,467651.47,0.00681,0.00247,138.67,13867.2,-8976.21
1964-06-10,1964-10-12,79.84,85.58,4146.0,485945.34,0.03366,0.0,139.55,13955.44,-14094.99
1964-10-12,1965-02-10,85.58,87.7,32406.0,483644.15,0.00448,0.00029,145.18,14517.89,-13723.29
1965-02-10,1965-06-10,87.7,85.82,14779.0,511028.59,0.00977,0.03502,144.39,14439.08,37172.59
1965-06-10,1965-10-11,85.82,91.84,2142.0,529050.07,0.07113,2e-05,152.36,15236.05,-15384.12
1965-10-11,1966-02-10,91.84,94.7,19817.0,529499.23,0.00797,0.00035,157.94,15794.15,-15258.49
1966-02-10,1966-05-17,94.7,85.03,14458.0,1307424.63,0.01093,0.57974,158.03,15802.59,822227.47
1966-05-17,1966-09-12,85.03,78.34,2526.0,1369084.19,0.15346,0.88207,387.64,38764.0,183659.25
1966-09-12,1966-12-12,78.34,83.54,2558.0,1409021.58,0.15949,2e-05,407.98,40797.54,-41200.41
1966-12-12,1967-04-10,83.54,89.32,2893.0,1461166.92,0.14533,0.00295,420.44,42043.97,-41610.97
1967-04-10,1967-08-10,89.32,96.67,4434.0,1532963.78,0.09835,2e-05,436.08,43608.39,-44035.6
1967-08-10,1967-12-11,96.67,95.99,46888.0,1665438.35,0.00976,0.0401,457.63,45762.69,141800.56
1967-12-11,1968-04-10,95.99,97.11,4466.0,1713458.85,0.11117,0.1858,496.49,49648.52,32833.27
1968-04-10,1968-08-12,97.11,98.49,1047.0,1688093.8,0.48795,0.03645,510.88,51088.36,-47782.93
1968-08-12,1968-12-10,98.49,108.33,3254.0,1800034.67,0.15483,1e-05,503.82,50381.68,-50882.25
1968-12-10,1969-04-10,108.33,102.22,40678.0,2226620.87,0.01321,0.14119,537.36,53735.64,520059.68
1969-04-10,1969-08-11,102.22,94.24,6470.0,2382278.01,0.10245,0.61997,662.85,66285.15,334172.59
1969-08-11,1969-12-10,94.24,91.22,1920.0,2232241.21,0.36965,0.03017,709.73,70972.8,-65889.89
1969-12-10,1970-04-10,91.22,89.14,16995.0,2245206.72,0.03921,0.07614,666.37,66637.4,62096.16
1970-04-10,1970-08-10,89.14,77.4,5382.0,2750247.77,0.12445,1.58472,669.79,66978.99,785247.52
1970-08-10,1970-11-10,77.4,85.69,5374.0,2922786.4,0.15228,0.0,818.35,81835.27,-82653.62
1970-11-10,1971-03-10,85.69,100.1,5706.0,3309762.14,0.15289,3e-05,872.39,87239.03,-88094.31
