purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale
1988-06-10,1988-10-11,273.20999,278.23999,1063.0,100560.21,0.43,0.01
1988-10-11,1989-02-10,278.23999,296.06,1933.0,106367.96,0.22,0.0
1989-02-10,1989-03-20,296.06,292.69,3323.0,109407.37,0.12,0.74
1989-03-20,1989-07-10,292.69,327.07001,2056.0,118824.44,0.22,0.01
1989-07-10,1989-10-31,327.07001,340.85998,2376.0,130310.21,0.21,1.52
1989-10-31,1990-02-12,340.85998,333.62,879.0,123495.06,0.68,0.09
1990-02-12,1990-06-11,333.62,361.63,1312.0,133055.42,0.43,0.0
1990-06-11,1990-08-07,361.63,338.63,2463.0,131288.55,0.23,1.51
1990-08-07,1990-08-23,338.63,316.54999,1932.0,124855.55,0.29,1.62
1990-08-23,1990-09-14,316.54999,318.64999,1484.0,127667.54,0.37,1.96
1990-09-14,1990-11-13,318.64999,319.48001,1134.0,124963.53,0.51,0.25
1990-11-13,1991-01-10,319.48001,314.76999,1021.0,122185.35,0.57,0.0
1991-01-10,1991-05-10,314.76999,383.91,1970.0,148189.25,0.27,0.0
1991-05-10,1991-09-10,383.91,388.63,1646.0,149595.81,0.41,0.13
1991-09-10,1992-01-10,388.63,417.62,1737.0,160311.3,0.39,0.19
1992-01-10,1992-05-11,417.62,418.75,1311.0,159572.06,0.57,0.01
1992-05-11,1992-09-10,418.75,420.51999,2346.0,159349.31,0.3,0.0
1992-09-10,1992-10-28,420.51999,420.13,4686.0,164587.17,0.13,0.68
1992-10-28,1993-02-10,420.13,446.37,2782.0,170491.14,0.25,0.0
1993-02-10,1993-03-04,446.37,449.51999,5683.0,179076.76,0.11,0.75
1993-03-04,1993-07-12,449.51999,449.10998,3496.0,173914.75,0.21,0.04
1993-07-12,1993-11-10,449.10998,463.72,3620.0,178392.85,0.2,0.0
1993-11-10,1994-03-10,463.72,467.29001,6371.0,181820.0,0.1,0.25
1994-03-10,1994-04-21,467.29001,449.14002,3917.0,183553.62,0.19,1.45
1994-04-21,1994-08-10,449.14002,460.48001,2403.0,181339.42,0.33,0.0
1994-08-10,1994-12-12,460.48001,449.48001,4317.0,179050.96,0.17,0.36
1994-12-12,1995-04-10,449.48001,507.01001,3169.0,199032.15,0.24,0.0
1995-04-10,1995-08-10,507.01001,560.63,6634.0,219420.34,0.11,0.06
1995-08-10,1995-12-11,560.63,620.90002,3776.0,241183.54,0.25,0.0
1995-12-11,1996-01-11,620.90002,602.71002,5243.0,243232.48,0.19,1.0
1996-01-11,1996-05-10,602.71002,653.0,4103.0,256504.98,0.25,0.02
1996-05-10,1996-08-30,653.0,657.71002,3205.0,268505.0,0.36,1.82
1996-08-30,1996-12-10,657.71002,753.42999,1509.0,299281.36,0.83,0.0
